Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Гаврилець,Роман,Іванович,Чоловік,10.10.1985,Пекар,селище Помічна,"узвіз Окружна, буд. 650, Люботин, 22615",+380 (65) 047-69-29,pavloarkhymovych@example.org
Сіробаба,Микита,Сергійович,Чоловік,06.10.2000,Соціолог,село Чуднів,"набережна Ольгіївський узвіз, буд. 5 кв. 2, Шостка, 52509",034 018 43 86,emiliiasahal@example.net
Цюпа,Захар,Олександрович,Чоловік,13.10.1975,Астрофізик,селище Могилів-Подільський,"шосе Лазурний 4-й, буд. 975 кв. 37, Мар'їнка, 26310",037 090 24 56,umykhailychenko@example.net
Забарний,Тарас,Володимирович,Чоловік,10.10.1984,Громадський діяч,місто Тиврів,"сквер Розкидайлівська, буд. 842 кв. 39, Іллінці, 86718",466 55 74,sychlukian@example.org
Петренко,Марʼяна,Андріївна,Жінка,07.10.1998,Вчитель,місто Пустомити,"набережна Супутників, буд. 86, Кілія, 17559",053 907 98 63,lbaturynets@example.com
Приймак,Данна,Дмитрівна,Жінка,14.10.1971,Живописець,хутір Самбір,"парк Велика Садова, буд. 44 кв. 001, Київ, 84739",034-90-63,vvashchenko-zakharchenko@example.com
Тягнибок,Остап,Володимирович,Чоловік,07.10.1997,Футболіст,селище Кам'янка-Дніпровська,"набережна Іподромний, буд. 5, Гадяч, 87254",+380 55 073 78 34,korbuterika@example.com
Дергач,Леонід,Олександрович,Чоловік,15.10.1965,Парфюмер,село Заліщики,"провулок Лиманчик 2-й Лінія 1-ша, буд. 753 кв. 7, Святогірськ, 05985",643-01-83,ihorandroshchuk@example.net
Батуринець,Демʼян,Андрійович,Чоловік,18.10.1955,Режисер,хутір Тячів,"парк Трояндова, буд. 7 кв. 79, Золотоноша, 79240",040 47 91,priska01@example.com
Деряжний,Євген,Олександрович,Чоловік,12.10.1976,Етнограф,селище Ізяслав,"шосе Тупиковий, буд. 42, Івано-Франківськ, 66427",014-28-71,korzhvira@example.org
Фурс,Ганна,Володимирівна,Жінка,10.10.1984,Епідеміолог,село Гнівань,"узвіз Мала, буд. 4, Хотин, 83613",008 453-99-44,panteleimonstets@example.com
Бабич,Тимофій,Єгорович,Чоловік,17.10.1957,Паралегал,місто Новий Калинів,"узвіз Тополиний, буд. 2 кв. 18, Київ, 24044",+380 85 316 31 80,vbabych@example.net
Гоголь-Яновський,Ілля,Михайлович,Чоловік,06.10.2000,Маркетолог,місто Березне,"сквер Верхня, буд. 7 кв. 731, Корець, 99939",445 05 22,okseniia77@example.com
Акуленко,Аврелій,Олександрович,Чоловік,14.10.1968,Антрополог,хутір Жданівка,"площа Віцеадмірала Жукова, буд. 2, Середина-Буда, 79799",+380 (32) 538-67-54,symonriabchenko@example.com
Дзиндра,Михайло,Володимирович,Чоловік,07.10.1996,Актор,хутір Горохів,"вулиця Ширшова, буд. 87, Татарбунари, 97811",+380 12 847-56-36,zhuravelokseniia@example.net
Гунько,Оксана,Михайлівна,Жінка,12.10.1978,Педагог,хутір Глобине,"провулок Єрмака, буд. 612, Камінь-Каширський, 50544",+380 (68) 999-59-96,jdatsenko@example.com
Баранник,Ігнат,Михайлович,Чоловік,06.10.2000,Прокурор,хутір Красноперекопськ,"шосе Морська, буд. 10, Чернігів, 07753",253 53 22,zhaivoronvadym@example.com
Іщак,Едита,Іванівна,Жінка,16.10.1963,Вчитель,селище Брянка,"проспект Садовий, буд. 864, Жданівка, 96116",+380 41 907-47-26,oryna46@example.net
Демʼянчук,Давид,Іванович,Чоловік,17.10.1957,Секретар,хутір Чортків,"парк М’ясоєдовська, буд. 654, Мена , 31348",+380 (85) 262-24-83,baklanielysaveta@example.net
Іщак,Любов,Володимирівна,Жінка,17.10.1959,Маркетолог,селище Боково-Хрустальне,"набережна Байкальська, буд. 9, Ізмаїл, 66853",047 828-04-89,ksliusar@example.com
Колесниченко,Григорій,Олександрович,Чоловік,12.10.1979,Піаніст,село Благовіщенське,"шосе Василя Кандинського 5-й, буд. 510 кв. 72, Ужгород, 80006",+380 (82) 073-92-55,yandreiko@example.com
